id,fundo_cnpj,papel,prestador_cnpj,prestador_nome
50,41572679000170,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
52,41572679000170,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
51,41572679000170,gestor,19207159000100,PRIVATTO ADMINISTRAÇÃO DE PATRIMÔNIO LTDA
25,41576095000173,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
28,41576095000173,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
27,41576095000173,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
26,41576095000173,gestor,21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.
29,41709776000162,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
32,41709776000162,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
31,41709776000162,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
30,41709776000162,gestor,21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.
59,42639133000152,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
61,42639133000152,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
60,42639133000152,gestor,18223260000191,CATÁLISE INVESTIMENTOS LTDA.
56,44668849000103,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
58,44668849000103,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
57,44668849000103,gestor,06238550000120,MONETIZA INVESTIMENTOS LTDA.
33,45563675000187,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
36,45563675000187,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
35,45563675000187,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
34,45563675000187,gestor,50543106000100,MENESTYS GESTORA DE RECURSOS LTDA
53,46268930000121,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
55,46268930000121,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
54,46268930000121,gestor,18223260000191,CATÁLISE INVESTIMENTOS LTDA.
145,46745079000180,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
147,46745079000180,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
146,46745079000180,gestor,18223260000191,CATÁLISE INVESTIMENTOS LTDA.
106,49088419000136,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
108,49088419000136,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
107,49088419000136,gestor,03403181000195,INFINITY ASSET MANAGEMENT ADMINISTRAÇÃO DE RECURSOS LTDA
109,49225426000132,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
111,49225426000132,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
110,49225426000132,gestor,09121454000195,TERCON INVESTIMENTOS LTDA
103,50167484000136,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
105,50167484000136,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
104,50167484000136,gestor,42373402000181,SQUALO CAPITAL GESTORA DE RECURSOS LTDA
100,51374900000130,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
102,51374900000130,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
101,51374900000130,gestor,18223260000191,CATÁLISE INVESTIMENTOS LTDA.
97,51566307000195,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
99,51566307000195,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
98,51566307000195,gestor,09121454000195,TERCON INVESTIMENTOS LTDA
46,51569573000171,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
49,51569573000171,controlador,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
48,51569573000171,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
47,51569573000171,gestor,09121454000195,TERCON INVESTIMENTOS LTDA
94,52114474000168,admin,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
96,52114474000168,custodiante,33886862000112,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS"
95,52114474000168,gestor,21180163000173,MAM ASSET MANAGEMENT GESTORA DE RECURSOS LTDA.
