fundo_cnpj,data,pl,valor_cota,captacao_dia,resgate_dia,cotistas
02727085000130,2025-09-23,1477882.21,170.9927218,0.0,0.0,17
02727085000130,2025-09-24,1514322.14,175.20886485,0.0,0.0,17
02727085000130,2025-09-25,1488385.33,172.20794522,0.0,0.0,17
02727085000130,2025-09-26,1479274.72,171.15383685,0.0,0.0,17
02727085000130,2025-09-29,1403049.65,168.01070494,0.0,49059.13,16
02727085000130,2025-09-30,1381068.51,165.37853378,0.0,0.0,16
02727085000130,2025-10-01,1379374.34,165.17566235,0.0,0.0,16
02727085000130,2025-10-02,1362314.59,163.13281189,0.0,0.0,16
02727085000130,2025-10-03,1352129.91,161.91322905,0.0,0.0,16
02727085000130,2025-10-06,1344371.95,160.98423817,0.0,0.0,16
02727085000130,2025-10-07,1345914.7,161.16897755,0.0,0.0,16
02727085000130,2025-10-08,1332496.05,159.56213716,0.0,0.0,16
02727085000130,2025-10-09,1314630.18,157.42275641,0.0,0.0,16
02727085000130,2025-10-10,1304852.51,156.25191172,0.0,0.0,16
02727085000130,2025-10-13,1316910.81,157.69585455,0.0,0.0,16
02727085000130,2025-10-14,1316028.93,157.59025224,0.0,0.0,16
02727085000130,2025-10-15,1297759.62,155.40256084,0.0,0.0,16
02727085000130,2025-10-16,1287578.52,154.18340671,0.0,0.0,16
02727085000130,2025-10-17,1293572.39,154.90115345,0.0,0.0,16
02727085000130,2025-10-20,1290265.64,154.50518072,0.0,0.0,16
02727085000130,2025-10-21,1276850.08,152.89871035,0.0,0.0,16
02727085000130,2025-10-22,1297805.87,155.40809913,0.0,0.0,16
02727085000130,2025-10-23,1307034.05,156.51314415,0.0,0.0,16
02727085000130,2025-10-24,1297661.16,155.39077057,0.0,0.0,16
02727085000130,2025-10-27,1306484.99,156.44739598,0.0,0.0,16
02727085000130,2025-10-28,1307625.49,156.5839672,0.0,0.0,16
02727085000130,2025-10-29,1305126.68,156.2847427,0.0,0.0,16
02727085000130,2025-10-30,1293732.09,154.92027702,0.0,0.0,16
02727085000130,2025-10-31,1287594.81,154.18535738,0.0,0.0,16
02727085000130,2025-11-03,1298845.36,155.53257473,0.0,0.0,16
02727085000130,2025-11-04,1310904.0,156.97655828,0.0,0.0,16
02727085000130,2025-11-05,1334284.06,159.77624563,0.0,0.0,16
02727085000130,2025-11-06,1335423.01,159.91263125,0.0,0.0,16
02727085000130,2025-11-07,1399237.7,167.55423613,0.0,0.0,16
02727085000130,2025-11-10,1411290.76,168.99755149,0.0,0.0,16
02727085000130,2025-11-11,1444774.24,173.00709105,0.0,0.0,16
02727085000130,2025-11-12,1401831.81,167.8648725,0.0,0.0,16
03919474000120,2025-01-02,105095.75,101.5586079,0.0,0.0,3
