competencia,cnpj,fundo,admin,pl,cotistas,ativo,carteira,dir_cred,dir_cred_inadimplente,provisao,valores_mobiliarios,debentures,cotas_outros_fidc,outros_a_receber
2025-11,53273475000118,Anna FICFIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,15827972883.43,1,16431060056.1,16428237794.59,0.0,0.0,0.0,13015888.78,0.0,16415221905.81,0.0
2025-11,29786909000107,Lancia! FIDC,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,40519247.22,3,40732786.16,40729016.3,35813897.7,0.0,0.0,0.0,0.0,4915118.6,3625.05
2025-11,34081900000122,Gold Style FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,1866806746.61,1,2044363064.63,1042736114.29,1042630535.56,0.0,0.0,105578.73,0.0,0.0,1001626925.07
2025-12,46909301000133,SDG II FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,2374707113.9,2,5455645817.8,4069844097.12,3360186137.3,64359725.78,300174394.58,675020714.01,525453849.85,34637245.81,1377680577.03
2025-12,53273475000118,Anna FICFIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,15688258736.37,1,16891355765.78,16288529016.89,0.0,0.0,0.0,0.0,0.0,16288529016.89,600004887.38
2025-12,29786909000107,Lancia! FIDC,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,40841277.55,3,41060825.21,41057055.35,36063851.69,0.0,0.0,0.0,0.0,4993203.66,3625.05
2025-12,34081900000122,Gold Style FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,1867671930.88,1,2045289800.86,1043667819.88,1043561071.35,0.0,0.0,106748.53,0.0,0.0,1001621955.71
2026-01,46909301000133,SDG II FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,2386514421.45,2,5468101074.98,4081671572.55,3367689363.14,65245326.43,300879917.19,678952333.78,528958996.56,35029875.63,1378033733.67
2026-01,29786909000107,Lancia! FIDC,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,41189297.99,3,41414854.37,41411084.51,36342188.17,0.0,0.0,0.0,0.0,5068896.34,3625.05
2026-02,46909301000133,SDG II FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,2422667058.82,1,7330419993.19,6181437449.33,5671236387.52,63465262.02,384412626.32,262836516.52,195603365.22,247364545.29,1140664867.08
2026-02,34081900000122,Gold Style FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,1868608126.3,1,2046342801.18,1044720820.2,978401838.5,0.0,0.0,66318981.7,66210927.94,0.0,1001621955.71
2026-03,46909301000133,SDG II FIDC-NP,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,2321447810.56,1,7229438545.19,6079546103.22,5628517864.34,68739396.35,440711048.12,263395901.73,195582654.94,187632337.15,1140664867.08
2026-04,29786909000107,Lancia! FIDC,CBSF DISTRIBUIDORA DE T-TULOS E VALORES MOBILI-RIOS S.A.,42584246.76,3,42825477.9,42821708.04,37531829.08,0.0,0.0,0.0,0.0,5289878.96,3625.05
